,id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName,image,tsne-2d-one,tsne-2d-two
15,12369,Men,Apparel,Topwear,Shirts,Purple,Fall,2011,Formal,Reid & Taylor Men Check Purple Shirts,12369.jpg,0.51361364,3.14051
16,29928,Men,Accessories,Watches,Watches,Black,Winter,2016,Casual,Police Men Black Dial Watch PL12889JVSB,29928.jpg,4.8058834,9.040182
17,42419,Girls,Apparel,Topwear,Tops,White,Summer,2012,Casual,Gini and Jony Girls Knit White Top,42419.jpg,-1.4545608,0.5298857
18,51832,Women,Apparel,Innerwear,Bra,Beige,Summer,2016,Casual,Bwitch Beige Full-Coverage Bra BW335,51832.jpg,-6.8286395,7.352938
19,47359,Women,Accessories,Bags,Handbags,Brown,Summer,2012,Casual,Baggit Women Brown Handbag,47359.jpg,2.002919,-0.2444886
20,17429,Men,Accessories,Watches,Watches,Black,Winter,2016,Casual,CASIO G-Shock Men Black Digital Watch G-7710-1DR G223,17429.jpg,6.0600142,9.2567625
21,12967,Men,Footwear,Sandal,Sandals,Black,Fall,2011,Casual,ADIDAS Men Spry M Black Sandals,12967.jpg,4.8382535,-0.016609784
22,6842,Unisex,Accessories,Shoe Accessories,Shoe Accessories,Black,Summer,2011,Casual,Timberland Unisex Rubber Sole Brush Shoe Accessories,6842.jpg,1.6061262,4.9970903
23,13089,Men,Apparel,Topwear,Sweatshirts,Grey,Fall,2011,Sports,ADIDAS Men Lfc Auth Hood Grey Sweatshirts,13089.jpg,-2.8515985,-4.4902854
24,18461,Men,Personal Care,Fragrance,Deodorant,White,Spring,2017,Casual,David Beckham Signature Men Deos,18461.jpg,-1.0803478,8.506403
25,9036,Men,Footwear,Shoes,Formal Shoes,Black,Winter,2011,Formal,Buckaroo Men Flores Black Formal Shoes,9036.jpg,3.1679158,-3.0834565
26,48311,Women,Accessories,Jewellery,Bracelet,Bronze,Winter,2012,Casual,Pitaraa Women Bronze Beaded Bracelet,48311.jpg,5.4800663,4.0036073
27,7990,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,2011,Sports,Fila Men's Round Neck Navy Blue T-shirt,7990.jpg,-2.850013,-7.642649
28,56019,Women,Personal Care,Lips,Lipstick,Brown,Spring,2017,Casual,Colorbar Soft Touch Show Stopper Copper Lipstick 037,56019.jpg,-3.3421173,9.551281
29,21977,Women,Accessories,Bags,Handbags,Brown,Winter,2015,Casual,Murcia Women Casual Brown Handbag,21977.jpg,2.4054494,-0.045282025
30,37812,Men,Apparel,Topwear,Shirts,Navy Blue,Summer,2012,Formal,John Players Men Navy Blue Shirt,37812.jpg,-3.1029446,-6.2976823
31,4729,Boys,Apparel,Topwear,Tshirts,Green,Summer,2011,Casual,Disney Kids Boy's Crew Sea Life Sialing Green Teen Kidswear,4729.jpg,-1.4432647,-0.58645254
32,56825,Men,Apparel,Topwear,Shirts,Brown,Summer,2012,Casual,John Players Men Brown Shirt,56825.jpg,-4.4629464,-2.6521866
33,39988,Men,Footwear,Shoes,Casual Shoes,White,Winter,2014,Casual,Gas Men Europa White Shoes,39988.jpg,6.207869,-7.297675
34,59051,Women,Footwear,Shoes,Flats,Black,Winter,2012,Casual,Carlton London Women Black & Gold Toned Flats,59051.jpg,5.8212786,0.18090937
35,20099,Women,Apparel,Topwear,Kurtas,Green,Fall,2011,Ethnic,Diva Women Embroided Green Kurta,20099.jpg,-9.2538805,0.61389494
36,58183,Women,Accessories,Bags,Handbags,White,Summer,2012,Casual,Rocky S Women White Handbag,58183.jpg,1.593989,-0.6733082
37,29742,Women,Accessories,Bags,Handbags,Teal,Summer,2012,Casual,Kiara Women Teal Handbag,29742.jpg,2.3651147,-0.39189684
38,51658,Women,Accessories,Watches,Watches,Copper,Winter,2016,Casual,Fossil Women Copper Chronograph Watch CH2589,51658.jpg,4.9277287,9.299835
39,3954,Women,Apparel,Topwear,Tshirts,Pink,Summer,2011,Casual,Jealous 21 Women's Pink T-shirt,3954.jpg,-7.9756036,-1.8655005
40,18839,Men,Accessories,Belts,Belts,Black,Fall,2011,Formal,Peter England Men Formal Black Belt,18839.jpg,7.7381406,2.6179295
41,2886,Women,Footwear,Shoes,Flats,Brown,Winter,2015,Casual,Catwalk Women Leather Brown Flats,2886.jpg,6.867636,-0.7969207
42,23278,Men,Accessories,Watches,Watches,Off White,Winter,2016,Casual,Maxima Ssteele Men Off White Watch,23278.jpg,4.2989445,8.095012
43,28690,Women,Apparel,Topwear,Kurtas,Beige,Summer,2012,Ethnic,W Women Printed Beige Kurta,28690.jpg,-9.319361,1.3192074
44,8580,Men,Apparel,Topwear,Waistcoat,Grey,Fall,2011,Casual,Scullers Men  Grey Waistcoat,8580.jpg,-0.6498065,-3.7838006
45,3168,Men,Footwear,Shoes,Sports Shoes,White,Fall,2010,Sports,Nike Men's Incinerate MSL White Blue Shoe,3168.jpg,5.186557,-8.259723
46,18005,Men,Apparel,Bottomwear,Shorts,Black,Summer,2011,Sports,Puma Men Long Logo Black Bermuda,18005.jpg,-4.97941,2.5087056
47,17871,Men,Apparel,Innerwear,Briefs,Maroon,Winter,2016,Casual,Levis Men Boxer Maroon Brief,17871.jpg,-1.02195,5.569987
48,9452,Men,Apparel,Topwear,Shirts,Red,Fall,2011,Formal,John Miller Men Stripes White Red Shirts,9452.jpg,0.4015032,-4.458197
49,38402,Women,Accessories,Belts,Belts,Black,Summer,2012,Casual,Baggit Women Hood Dabang Black Belt,38402.jpg,7.2827764,2.692615
50,44984,Women,Accessories,Watches,Watches,White,Winter,2016,Casual,Maxima Women White Dial Watch,44984.jpg,2.462091,8.01414
51,10268,Men,Footwear,Shoes,Formal Shoes,Black,Fall,2012,Formal,Clarks Men Hang Work Leather Black Formal Shoes,10268.jpg,3.6253414,-3.2478418
52,45856,Women,Apparel,Topwear,Kurtas,Brown,Summer,2012,Ethnic,Vishudh Women Brown Kurta,45856.jpg,-8.954618,1.5802667
53,32138,Men,Apparel,Innerwear,Briefs,Blue,Summer,2016,Casual,Playboy Men Blue Titanium Briefs,32138.jpg,-5.285168,5.4703145
54,59435,Men,Footwear,Shoes,Formal Shoes,Black,Summer,2012,Formal,Arrow Men Black Formal Shoes,59435.jpg,3.377512,-3.5814893
55,5891,Men,Apparel,Topwear,Tshirts,Black,Summer,2011,Casual,Puma Men's Stripe Polo Black T-shirt,5891.jpg,-0.96817297,-6.582369
56,38630,Women,Apparel,Topwear,Tshirts,Purple,Summer,2012,Casual,Nike Women Purple Polo T-shirt,38630.jpg,-1.147985,0.14048675
57,4943,Men,Apparel,Topwear,Shirts,White,Summer,2011,Casual,Gini and Jony Boy's Kaleb White Brown Kidswear,4943.jpg,-3.1645179,-1.1753978
58,11188,Men,Accessories,Watches,Watches,Silver,Winter,2016,Casual,Carrera Men Dial steel finish strap Silver Watches,11188.jpg,4.4041004,9.466046
59,10866,Men,Apparel,Topwear,Tshirts,Red,Fall,2011,Casual,Wrangler Men Motor Rider Red T-Shirts,10866.jpg,-4.5189977,-6.1605816
60,59607,Women,Apparel,Saree,Sarees,Grey,Fall,2012,Ethnic,FNF Pink & Grey Wedding Collection Sari,59607.jpg,-9.359784,4.4500585
61,15528,Men,Apparel,Topwear,Tshirts,Black,Fall,2011,Casual,Puma Men Scribble Black Tshirts,15528.jpg,-3.8480618,-7.437381
62,45258,Men,Accessories,Watches,Watches,Black,Winter,2016,Casual,CASIO EDIFICE Men Black Dial Chronograph Watch ED60,45258.jpg,4.5415998,9.624131
63,42841,Women,Accessories,Bags,Handbags,Beige,Summer,2012,Casual,French Connection Women Beige Handbag,42841.jpg,2.3043306,0.019637827
64,22198,Men,Footwear,Shoes,Casual Shoes,Black,Fall,2012,Casual,Timberland Men Black Casual Shoes,22198.jpg,2.7794662,-4.945839
65,29570,Men,Footwear,Shoes,Casual Shoes,Purple,Summer,2012,Casual,Vans Men Classic Slip-On Purple & Black Shoes,29570.jpg,5.328205,-3.6581876
66,43993,Women,Personal Care,Fragrance,Perfume and Body Mist,Pink,Spring,2017,Casual,Police Women Passion Perfume,43993.jpg,0.17734642,8.842093
67,6628,Men,Footwear,Shoes,Sports Shoes,White,Summer,2011,Sports,ADIDAS Men's Lowell White Silver Shoe,6628.jpg,6.2059636,-7.9473896
68,54924,Men,Apparel,Bottomwear,Shorts,Blue,Summer,2012,Casual,Do U Speak Green Men Blue Shorts,54924.jpg,-5.282947,5.377065
69,26538,Men,Footwear,Shoes,Casual Shoes,Red,Fall,2012,Casual,ID Men Red Shoes,26538.jpg,6.3333898,-5.163626
70,35913,Women,Accessories,Bags,Handbags,Black,Summer,2012,Casual,Peperone Women Black & White Handbag,35913.jpg,2.5393412,-0.33539483
71,49495,Men,Footwear,Shoes,Casual Shoes,Khaki,Summer,2012,Casual,Vans Men Khaki Shoes,49495.jpg,3.6780224,-5.1847043
72,9660,Men,Apparel,Topwear,Shirts,Pink,Fall,2011,Casual,Indigo Nation Men Reversible Bling Pink Shirts,9660.jpg,-0.393484,-3.9150758
73,2288,Women,Apparel,Topwear,Tshirts,Black,Fall,2010,Sports,Nike Women Black T-shirt,2288.jpg,-0.79332733,-0.37537184
74,23876,Men,Apparel,Topwear,Sweatshirts,Blue,Fall,2011,Casual,ADIDAS Men Blue Sweatshirt,23876.jpg,-5.84283,-3.6946115
75,18237,Men,Apparel,Topwear,Tshirts,Red,Fall,2011,Casual,Manchester United Men Solid Red Tshirt,18237.jpg,-3.992554,-5.859673
76,54118,Women,Footwear,Shoes,Heels,Black,Winter,2012,Casual,Rocia Women Black Flats,54118.jpg,5.7706366,0.031464715
77,2872,Women,Footwear,Shoes,Heels,Brown,Winter,2015,Casual,Catwalk Women Leather Flats,2872.jpg,7.2169743,-2.4842758
78,49653,Women,Apparel,Topwear,Tops,Green,Summer,2012,Casual,Mineral Women Green Top,49653.jpg,-7.3280377,0.63378423
79,8574,Women,Footwear,Sandal,Sandals,Pink,Fall,2011,Casual,Crocs Dora Boots Pink Sandals,8574.jpg,3.365787,-6.933968
80,16957,Men,Accessories,Eyewear,Sunglasses,Black,Winter,2016,Casual,Image Men Sunglasses,16957.jpg,10.587204,3.188662
81,19123,Men,Footwear,Flip Flops,Flip Flops,Silver,Fall,2011,Casual,Lotto Men XL Water Man Silver Slippers,19123.jpg,6.3769836,-2.3687778
82,13419,Men,Apparel,Topwear,Tshirts,Pink,Summer,2011,Casual,United Colors of Benetton Men Solid Pink Polo T-shirts,13419.jpg,-3.6938603,-5.1524453
83,17885,Men,Apparel,Innerwear,Innerwear Vests,Grey,Summer,2016,Casual,Levis Men Comfort Style Grey Innerwear Vest,17885.jpg,-2.3804197,-3.8724306
84,43369,Men,Footwear,Flip Flops,Flip Flops,Black,Summer,2013,Casual,Reebok Men Black Possession Flip Flops,43369.jpg,8.340367,-2.5246253
85,48781,Women,Accessories,Jewellery,Pendant,Silver,Summer,2012,Casual,Lucera Women Silver Pendant,48781.jpg,5.5207276,4.418863
86,44970,Men,Accessories,Watches,Watches,White,Winter,2016,Casual,Maxima Men White Dial Analog Chronograph Watch,44970.jpg,4.4820485,7.7076106
87,56489,Women,Personal Care,Nails,Nail Polish,Bronze,Spring,2017,,Streetwear Ash Nail Polish # 31,56489.jpg,-0.8927707,9.253119
88,39524,Unisex,Accessories,Bags,Laptop Bag,Orange,Summer,2012,Casual,Peter England Unisex Orange Sleeve Bag,39524.jpg,2.8480837,0.93772703
89,33822,Men,Footwear,Shoes,Sports Shoes,White,Summer,2012,Sports,Puma Men Axis White & Grey Sports Shoes,33822.jpg,6.455321,-7.3490634
90,58513,Women,Apparel,Topwear,Tops,Off White,Summer,2012,Casual,Tonga Women Maroon Top,58513.jpg,-6.421698,-1.0520241
91,25947,Women,Accessories,Scarves,Scarves,Brown,Summer,2012,Casual,Femella Women Brown Scarf,25947.jpg,-0.43159848,-2.2009413
92,52029,Unisex,Apparel,Topwear,Rain Jacket,Coffee Brown,Summer,2012,,Just Natural Unisex Charcoal Rain Jacket,52029.jpg,-1.6873772,-3.1661787
93,5865,Men,Apparel,Topwear,Tshirts,Black,Summer,2011,Casual,ADIDAS Men's Twelve Faster T-shirt,5865.jpg,-3.84953,-8.447356
94,39716,Women,Apparel,Dress,Dresses,Blue,Summer,2012,Casual,Arrow Woman Women Blue Dress,39716.jpg,-7.573154,0.75685173
95,25349,Men,Apparel,Innerwear,Briefs,Red,Summer,2016,Casual,Levis Men Red Brief,25349.jpg,-0.9839936,5.4969673
96,11940,Men,Footwear,Sandal,Sandals,Black,Summer,2011,Casual,Ganuchi Men Casual Black Sandals,11940.jpg,5.7813516,-1.7837837
97,55802,Women,Apparel,Loungewear and Nightwear,Night suits,White,Summer,2017,Casual,SDL by Sweet Dreams Women Green Printed Night Suit S11-3124,55802.jpg,-7.285824,2.9768867
98,29584,Men,Apparel,Topwear,Tshirts,Black,Summer,2012,Casual,Indigo Nation Men Printed Black T-shirt,29584.jpg,-3.9475446,-8.124405
99,43967,Women,Personal Care,Fragrance,Perfume and Body Mist,Red,Spring,2017,Casual,DKNY Women Red Delicious Perfume,43967.jpg,4.0181813,5.214555
100,28456,Women,Apparel,Bottomwear,Skirts,Blue,Summer,2012,Sports,Urban Yoga Women Blue Skirt With Leggings,28456.jpg,-5.500369,2.299117
101,34009,Girls,Apparel,Topwear,Tops,Black,Summer,2012,Casual,Gini and Jony Girls Black Top,34009.jpg,-1.988076,-0.91541356
102,19311,Men,Footwear,Shoes,Casual Shoes,White,Fall,2011,Casual,Nike Men Air Rift MTR White Casual Shoe,19311.jpg,5.699234,-3.2292042
103,42089,Men,Footwear,Shoes,Sports Shoes,White,Summer,2012,Sports,ADIDAS Men White Corona Sports Shoes,42089.jpg,6.119745,-7.833636
104,22950,Unisex,Accessories,Watches,Watches,Black,Winter,2016,Casual,Fastrack Unisex Black Dial Watch 9915PP13,22950.jpg,4.790585,8.342864
105,49461,Men,Footwear,Shoes,Casual Shoes,Blue,Summer,2012,Casual,Vans Men Blue Era Scilla Plaid Shoes,49461.jpg,5.489568,-4.977619
106,8746,Unisex,Footwear,Flip Flops,Flip Flops,Navy Blue,Summer,2015,Casual,Crocs Kids Navy Blue Clogs,8746.jpg,6.161563,-3.5904374
107,9694,Men,Apparel,Topwear,Tshirts,White,Fall,2011,Casual,Classic Polo Men Vulcan White Polo Tshirts,9694.jpg,-0.63787514,-6.79422
108,23882,Men,Footwear,Shoes,Sports Shoes,Grey,Fall,2011,Sports,Fila Men Destiny Grey Sports Shoes,23882.jpg,6.701879,-6.9250813
109,34835,Men,Footwear,Shoes,Sports Shoes,Blue,Summer,2012,Sports,ADIDAS Men Blue Chill Sports Shoes,34835.jpg,4.3193994,-6.3035116
110,15984,Men,Apparel,Topwear,Shirts,Yellow,Fall,2011,Casual,Turtle Check Men Yellow Shirt,15984.jpg,-3.6523056,-3.5591972
111,41268,Men,Accessories,Wallets,Wallets,Black,Summer,2012,Casual,Arrow Men Black Wallet,41268.jpg,1.766926,4.416563
112,11518,Women,Footwear,Shoes,Heels,Grey,Winter,2015,Casual,Catwalk Women Gun Metal Grey Heels,11518.jpg,4.9032936,-2.6475832
113,14856,Women,Accessories,Wallets,Wallets,Beige,Summer,2011,Casual,United Colors of Benetton Women Solid Beige Wallets,14856.jpg,1.7144223,4.7345643
114,33648,Men,Footwear,Sandal,Sandals,Brown,Summer,2012,Casual,Lotto Men Ridge Brown Sandals,33648.jpg,4.9617925,0.11859874
115,59297,Men,Apparel,Topwear,Shirts,White,Fall,2012,Casual,U.S. Polo Assn. Men White & Navy Blue Shirt,59297.jpg,0.77156943,-4.5962014
116,28032,Men,Apparel,Innerwear,Briefs,White,Summer,2016,Casual,Jockey ELANCE Men Bikini White Brief 1005,28032.jpg,-1.0264515,5.577589
117,27846,Women,Apparel,Topwear,Blazers,Charcoal,Summer,2012,Formal,Scullers For Her Charcoal Blazer,27846.jpg,-3.13068,-1.9056605
118,26994,Women,Apparel,Bottomwear,Jeans,Black,Summer,2012,Casual,Jealous 21 Women Black Jeans,26994.jpg,-4.8376617,2.1405923
119,49839,Women,Footwear,Flip Flops,Flip Flops,Red,Winter,2012,Casual,iPanema Women Red Flip Flops,49839.jpg,8.135971,-1.6106651
120,31923,Women,Accessories,Bags,Handbags,Blue,Summer,2012,Casual,Fabindia Women Blue Silk Sling Bag,31923.jpg,2.3316112,3.1477015
121,2618,Women,Footwear,Shoes,Flats,Silver,Spring,2010,Casual,Carlton London Women Silver Wedge Sandal,2618.jpg,5.787318,-2.1735773
122,54588,Women,Apparel,Topwear,Kurtas,Green,Summer,2012,Ethnic,Sushilas Women Printed Green Kurta,54588.jpg,-9.903842,1.9201978
123,49005,Women,Accessories,Jewellery,Ring,Silver,Summer,2012,Casual,Lucera Women Silver Ring,49005.jpg,5.358781,3.8738203
124,8322,Boys,Apparel,Topwear,Tshirts,Blue,Fall,2011,Casual,Doodle Boy's Route 66 Biker Blue Teen Kidswear,8322.jpg,-1.3046426,0.18171526
125,13841,Unisex,Accessories,Watches,Watches,White,Winter,2016,Casual,ADIDAS Unisex Three Small Dials White Watches,13841.jpg,4.435115,7.85333
126,28200,Men,Accessories,Eyewear,Sunglasses,Copper,Winter,2016,Casual,Ray-Ban Men Active Lifestyle Copper Sunglasses,28200.jpg,11.071156,2.9026105
127,12993,Unisex,Footwear,Shoes,Sports Shoes,Black,Fall,2011,Sports,ADIDAS Kids Adispeed Black Sports Shoes,12993.jpg,6.489595,-7.6283026
128,7158,Men,Apparel,Topwear,Shirts,Green,Fall,2011,Casual,Scullers Men  Green Check Shirt,7158.jpg,-4.4274383,-2.7927577
129,18495,Men,Footwear,Sandal,Sandals,White,Fall,2011,Casual,Puma Men Fashion Cat White Slipper,18495.jpg,6.5346675,-2.030696
130,8110,Men,Accessories,Watches,Watches,Black,Winter,2016,Casual,Fastrack Men Economy 2 Analg Black Watch,8110.jpg,3.030127,8.847931
131,19547,Men,Apparel,Topwear,Sweatshirts,Blue,Fall,2011,Casual,United Colors of Benetton Men Solid Blue Sweatshirt,19547.jpg,-2.8255544,-5.3661447
132,7964,Men,Apparel,Topwear,Tshirts,Black,Fall,2011,Sports,Puma Men's Large Logo Graphic Black T-shirt,7964.jpg,-2.4936428,-8.974227
133,36934,Women,Personal Care,Fragrance,Perfume and Body Mist,Gold,Spring,2017,Casual,Giorgio Armani Women Idole Perfume,36934.jpg,0.41961142,9.077066
134,39140,Women,Apparel,Apparel Set,Kurta Sets,Black,Summer,2012,Ethnic,Aneri Women Black & Maroon Salwar Suit,39140.jpg,-10.0501585,2.620406
135,20851,Women,Accessories,Bags,Clutches,Red,Winter,2015,Casual,Spice Art Women Ribbon Embroidery Red Clutch,20851.jpg,-0.74828666,1.5100054
136,41866,Men,Footwear,Sandal,Sandals,Beige,Fall,2015,Casual,Estd. 1977 Men Beige & Green Sandals,41866.jpg,6.9968076,-0.8733428
137,58177,Women,Accessories,Bags,Handbags,Brown,Summer,2012,Casual,Rocky S Women Brown Handbag,58177.jpg,2.0379355,0.0183201
138,44528,Men,Footwear,Sandal,Sandals,Black,Summer,2012,Casual,Coolers Men Black Sandals,44528.jpg,4.262901,-3.1563342
139,16392,Men,Apparel,Topwear,Shirts,Red,Fall,2011,Casual,Levis Men Check Red Shirts,16392.jpg,-3.4083421,-4.361603
140,51455,Women,Apparel,Topwear,Shrug,Pink,Summer,2012,Casual,Tonga Women Pink Printed Shrug,51455.jpg,-6.5872283,-1.318506
141,50587,Men,Apparel,Innerwear,Briefs,Grey,Summer,2016,Casual,Chromozome Men Grey Briefs,50587.jpg,-5.287575,5.498133
142,17240,Men,Apparel,Topwear,Tshirts,Black,Fall,2011,Casual,U.S. Polo Assn. Men Stripes Black  Polo Tshirt,17240.jpg,-1.2373061,-6.327845
143,47530,Women,Footwear,Shoes,Flats,Copper,Winter,2012,Casual,Portia Women Copper-Toned & Brown Sandals,47530.jpg,6.6304054,-0.267338
144,6617,Men,Apparel,Topwear,Shirts,Black,Summer,2011,Casual,Spykar Men Black and white Check Shirt,6617.jpg,-4.3761945,-2.462384
145,12732,Unisex,Accessories,Bags,Backpacks,Black,Fall,2011,Sports,Nike Unisex Swoosh Black Backpack,12732.jpg,1.1742668,1.7329301
146,3365,Men,Apparel,Topwear,Tshirts,Black,Summer,2011,Casual,Myntra Men's Brain Black T-shirt,3365.jpg,-2.756694,-8.120268
147,42042,Men,Footwear,Shoes,Sports Shoes,White,Summer,2012,Sports,Nike Men Air Relentless 2 MSL White Sports Shoes,42042.jpg,4.876286,-7.643465
148,23849,Men,Footwear,Shoes,Casual Shoes,Black,Fall,2011,Casual,ADIDAS Men Black Anzo Breeze Casual Shoes,23849.jpg,4.0540075,-3.815271
149,43190,Women,Accessories,Watches,Watches,White,Winter,2016,Casual,Fastrack Women White Dial Watch,43190.jpg,4.6890764,7.7700853
150,48578,Men,Accessories,Jewellery,Bracelet,Steel,Summer,2012,Casual,Revv Men Steel Bracelet,48578.jpg,6.676535,2.9129229
151,30462,Women,Apparel,Innerwear,Bra,Black,Summer,2014,Casual,Lovable Women All Day Long Black Bra,30462.jpg,-5.431156,7.481836
152,18208,Men,Accessories,Headwear,Caps,White,Fall,2011,Casual,Manchester United Men Solid White Cap,18208.jpg,-0.55521697,2.4630086
153,54127,Women,Footwear,Shoes,Heels,Black,Winter,2012,Casual,Rocia Women Black Heels,54127.jpg,5.4415193,0.6780001
154,10065,Men,Apparel,Topwear,Tshirts,Yellow,Fall,2011,Casual,Puma Men ducati logo tee Yellow Tshirts,10065.jpg,-4.2524333,-6.0156937
155,24250,Men,Footwear,Shoes,Casual Shoes,White,Fall,2012,Casual,Numero Uno Men White Casual Shoes,24250.jpg,4.2434483,-8.127566
156,32335,Men,Accessories,Watches,Watches,Silver,Winter,2016,Casual,Q&Q Men Silver-Toned Dial Analogue Watch Q252J404Y,32335.jpg,4.8987474,8.208669
157,25382,Men,Apparel,Innerwear,Innerwear Vests,White,Summer,2016,Casual,Levis Men White Innerwear Vest,25382.jpg,-3.7486258,-4.4903655
158,56670,Men,Accessories,Watches,Watches,Black,Winter,2016,Casual,Maxima Men Black Dial Watch,56670.jpg,3.0756,8.795189
159,5092,Men,Apparel,Topwear,Tshirts,Purple,Summer,2011,Casual,Wrangler Men's Minstrel Shoulder Loop Purple T-shirt,5092.jpg,-3.535225,-5.547201
160,10859,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,2011,Casual,Wrangler Men Furious Rides Navy Blue T-Shirts,10859.jpg,-3.9807227,-8.028257
161,59638,Women,Apparel,Saree,Sarees,Green,Fall,2012,Ethnic,FNF Green Wedding Collection Sari,59638.jpg,-9.373623,4.411395
162,15517,Men,Footwear,Shoes,Casual Shoes,Red,Fall,2011,Casual,Rockport Men LLandro Red Casual Shoes,15517.jpg,4.39739,-6.6306386
163,4140,Women,Footwear,Shoes,Casual Shoes,Green,Winter,2015,Casual,Skechers Women Green Shoe,4140.jpg,4.642727,-8.164421
164,36795,Men,Accessories,Watches,Watches,Silver,Winter,2016,Casual,Maxima Men Ssteele Silver Dial Watch,36795.jpg,3.1298904,8.342416
165,40527,Men,Accessories,Watches,Watches,Gold,Winter,2016,Casual,Titan Men Gold Dial Watch,40527.jpg,2.9346309,7.753556
166,10257,Men,Apparel,Bottomwear,Trousers,Black,Fall,2011,Formal,John Miller Men Solid Type Black Trousers,10257.jpg,-3.6092017,2.9192877
167,24062,Men,Apparel,Topwear,Tshirts,Navy Blue,Summer,2012,Casual,Locomotive Men Navy Blue Printed T-shirt,24062.jpg,-3.7634072,-7.819827
168,45869,Men,Accessories,Watches,Watches,Brown,Winter,2016,Casual,Maxima Men Brown Dial Watch,45869.jpg,2.8846548,8.567643
169,11385,Women,Apparel,Topwear,Sweatshirts,Black,Fall,2011,Casual,United Colors Of Benetton Women Light Winter Black Sweatshirts,11385.jpg,-6.0719485,-2.7899036
170,53130,Women,Footwear,Shoes,Flats,Brown,Winter,2015,Casual,Catwalk Women Brown Sandals,53130.jpg,5.788335,-0.19636112
171,44187,Women,Personal Care,Fragrance,Perfume and Body Mist,White,Spring,2017,Casual,Nike Fragrances Women 5th Element Perfume 150 ml,44187.jpg,-0.32260168,8.885432
172,21510,Women,Accessories,Bags,Handbags,White,Winter,2015,Casual,Kiara Women Graphiti White Handbag,21510.jpg,3.01897,1.603677
173,51667,Men,Accessories,Eyewear,Sunglasses,Grey,Winter,2016,Casual,Louis Philippe Men Grey Sunglasses,51667.jpg,11.037928,2.9207704
174,22395,Men,Apparel,Topwear,Shirts,Blue,Fall,2011,Casual,Mark Taylor Men Striped Blue Shirt,22395.jpg,-0.7210962,-4.183697
175,35322,Women,Accessories,Jewellery,Earrings,Silver,Winter,2016,Ethnic,Fabindia Women Anusuya Silver Earrings,35322.jpg,5.5997567,4.8122783
176,6425,Unisex,Footwear,Shoes,Casual Shoes,Black,Summer,2011,Casual,Lotto Unisex Canvas Black Check Shoe,6425.jpg,6.022299,-6.128021
177,18806,Men,Accessories,Belts,Belts,Tan,Summer,2011,Casual,Peter England Men Casual Tan Belt,18806.jpg,7.9855423,2.5178258
178,23247,Men,Footwear,Shoes,Formal Shoes,Black,Fall,2011,Formal,Arrow Men Formal Black Shoe,23247.jpg,3.4081779,-3.5714972
179,17072,Women,Accessories,Belts,Belts,Grey,Winter,2015,Casual,Lino Perros Women Weaved  Grey Belt,17072.jpg,7.1732535,2.8090205
